,Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
404,XBT/USD,2019-03-02 07:00:00,2019-03-05 10:00:00,short,3790.5,3718.0,2719673.0,13.99100171793544,800.2892263912757
405,XBT/USD,2017-04-06 01:00:00,2017-04-08 17:00:00,long,1142.5,1186.0,155565.0,4.9941347079900185,165.88597499351982
406,XBT/USD,2018-04-18 21:00:00,2018-04-18 21:00:00,long,8189.5,8098.0,3940974.0,-5.437377729384424,532.2253227248093
407,XBT/USD,2017-12-27 22:00:00,2017-12-29 03:00:00,short,15284.0,14961.5,1946331.0,2.7449488297989943,385.4042851863025
408,XBT/USD,2016-09-17 15:00:00,2016-09-18 10:00:00,short,602.08,606.25,65260.0,-0.7455506820342223,122.41692554126652
409,XBT/USD,2018-03-26 06:00:00,2018-03-28 12:00:00,short,8439.5,8022.5,3758301.0,23.147344284731773,531.7447246087827
410,XBT/USD,2016-01-14 20:00:00,2016-01-14 23:00:00,long,431.56,426.5,33998.0,-0.934638499526832,91.43250975763416
411,XBT/USD,2019-03-22 17:00:00,2019-03-23 14:00:00,long,3992.5,3969.0,2863457.0,-4.246513453592279,786.1652972403841
412,XBT/USD,2018-01-16 06:00:00,2018-01-18 01:00:00,short,13147.5,11576.0,1943070.0,20.06324304943129,404.89330250080116
413,XBT/USD,2016-09-17 15:00:00,2016-09-18 10:00:00,short,602.08,606.25,65260.0,-0.7455506820342223,122.41692554126652
414,XBT/USD,2019-10-15 16:00:00,2019-10-17 11:00:00,short,8178.0,8059.5,7092750.0,12.751985109646457,1039.7583198209782
415,XBT/USD,2020-05-13 10:00:00,2020-05-15 15:00:00,long,8955.5,9471.5,14761634.0,89.79983383029206,1921.177225372572
416,XBT/USD,2016-07-18 19:00:00,2016-07-21 16:00:00,short,670.23,666.58,75315.0,0.6153159921532264,129.39611506228442
417,XBT/USD,2016-07-24 14:00:00,2016-07-25 05:00:00,long,659.25,651.5,71830.0,-1.2961134292061391,126.79096817992105
418,XBT/USD,2016-12-24 13:00:00,2016-12-24 14:00:00,short,887.24,897.0,113562.0,-1.3926734426809966,137.87447448977468
419,XBT/USD,2017-03-23 14:00:00,2017-03-23 16:00:00,long,1044.17,1032.5,136890.0,-1.4817717402941732,145.03984909072003
420,XBT/USD,2018-11-08 03:00:00,2018-11-10 15:00:00,short,6455.0,6365.0,3608322.0,7.904113011525219,620.3034460955425
421,XBT/USD,2017-09-30 02:00:00,2017-10-01 14:00:00,long,4215.9,4273.6,1007374.0,3.2261338289593637,269.0432393749357
422,XBT/USD,2019-05-23 19:00:00,2019-05-26 05:00:00,long,7785.5,8011.0,5842140.0,21.122497411220525,854.8326197460208
423,XBT/USD,2016-10-07 07:00:00,2016-10-08 17:00:00,long,611.82,614.61,65729.0,0.4876833587770769,120.24305670797186
424,XBT/USD,2019-07-06 18:00:00,2019-07-06 20:00:00,long,11495.5,11312.5,7401262.0,-10.415267053093748,1014.531096625493
425,XBT/USD,2017-08-27 03:00:00,2017-08-27 23:00:00,long,4342.8,4292.0,1077142.0,-2.935669292602535,287.19715780495017
426,XBT/USD,2020-05-01 12:00:00,2020-05-01 13:00:00,long,8890.0,8766.0,10959299.0,-17.43818311212129,1702.0569656456037
427,XBT/USD,2018-09-08 10:00:00,2018-09-08 11:00:00,long,6441.5,6368.5,3644697.0,-6.4857488176468445,634.7390274873843
428,XBT/USD,2015-12-22 20:00:00,2015-12-23 10:00:00,short,436.99,442.0,37061.0,-0.961304756655432,95.17019926599129
429,XBT/USD,2016-10-21 02:00:00,2016-10-24 00:00:00,long,628.62,650.48,66517.0,3.5559911301942257,123.40546090983456
430,XBT/USD,2018-10-09 12:00:00,2018-10-14 03:00:00,short,6586.5,6218.0,3758693.0,33.819636349847286,655.133721457216
431,XBT/USD,2017-08-24 18:00:00,2017-08-26 03:00:00,long,4234.5,4292.7,1127139.0,3.6088413151883016,299.0499812409102
